laser_name,year,doi_or_link,laser_type,facility,country,facility_status,demonstrated_status,peak_power_w,wavelength_m,rep_rate_s_inv,max_intensity_w_m2,pulse_energy_j,pulse_duration_fs
MEC Instrument (LCLS),Not found in source; facility laser characteristics page current,https://lcls.slac.stanford.edu/instruments/mec/laser-characteristics,SS,"Portola Valley, USA",USA,Operational / Demonstrated,Y,25000000000000,8.000000000000001e-07,5,N/A,1,40
ELI Beamlines L1 (ALLEGRA),2017,https://www.eli-beams.eu/facility/lasers/laser-1-allegra-100-mj-1-khz/,SS,ELI Beamlines,Czech Republic,Operational / Demonstrated,Y,20000000000000,8.000000000000001e-07,1000,N/A,0.1,5
ELI-ALPS SYLOS 3,2026,https://up.eli-laser.eu/laser/sylos-3-1101562895,OP,ELI-ALPS,Hungary,Operational / kHz Few-Cycle User Laser,Y,15000000000000,9.000000000000001e-07,N/A,N/A,0.12,8
Laboratory for Intense Lasers (L2I),2017,https://www.cambridge.org/core/journals/high-power-laser-science-and-engineering/article/ultrashort-pulse-capability-at-the-l2i-high-intensity-laser-facility/AC8B841C57282134E8AA71784DD95505 ; https://www.mdpi.com/2304-6732/11/12/1157,HY,"Lisbon, Portugal",Portugal,Operational / Demonstrated,Y,15000000000000,1.0530000000000001e-06,N/A,N/A,N/A,N/A
TEWALAS,2015,https://www.mdpi.com/2073-4352/9/7/347,SS,"Bucharest, Romania",Romania,Operational / Demonstrated,Y,15000000000000,8.100000000000001e-07,10,N/A,0.35000000000000003,30
UCLA Neptune CO₂,2010,https://doi.org/10.1364/OE.18.017865,GAS,UCLA Neptune Laboratory,USA,Historical / Demonstrated,Y,15000000000000,1.06e-05,N/A,N/A,45,3000
100-mJ-class 1.7 µm DC-OPA,2022,https://arxiv.org/abs/2202.03658,OP,RIKEN / University of Tokyo-related group,Japan,Commissioning / Partial or design value,O,10096000000000,1.7e-06,10,N/A,0.105,10.4
"10/100 Hz Laser, 10 Hz Line",2005,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/129457B0616001ECAD066B06BDEA7971/S0263034606060150a.pdf,SS,"Varennes, Canada",Canada,Commissioning / In progress,O,10000000000000,8.000000000000001e-07,10,N/A,0.6,60
Pulsar,2015,https://content.sciendo.com/view/journals/nuka/60/2/article-p245.xml; https://przyrbwn.icm.edu.pl/APP/PDF/138/app138z4p03.pdf,SS,"Warsaw, Poland",Poland,Operational / Demonstrated,Y,10000000000000,8.100000000000001e-07,N/A,N/A,0.13,50
FACET Laser,2014,https://www.slac.stanford.edu/pubs/slacpubs/15750/slac-pub-15904.pdf; https://facet-ii.slac.stanford.edu/facility/experiment-laser,SS,"Portola Valley, USA",USA,Operational / Demonstrated,Y,10000000000000,8.000000000000001e-07,1,N/A,0.5,150000
